#Scan#	pepmass	query_validation
20616	297.1333	Uronic acids
20619	297.1335	Uronic acids
20628	297.1334	Uronic acids
20633	297.1334	Uronic acids
20718	297.1334	Uronic acids
21096	297.1336	Uronic acids
56759	702.5511	Uronic acids
57113	702.5514	Uronic acids
64214	676.4996	Uronic acids
65687	819.5593	Uronic acids
